profile_para,mle_transformed,CI_low_transformed,CI_high_transformed,delta,se_stat,se_mc,se,mle,CI_low,CI_high
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
beta_naught1,218.97387637637635,154.8456781781782,266.0012217217217,5060.169729210752,6.844020723979142e-4,0.035121926111499835,0.03512859376602423,0.2964464464464464,0.20815815815815816,0.3611911911911912
beta_naught2,293.07757207207203,268.13882832832826,327.27927777777774,3897.0655364586196,5.520101503417719e-4,0.024858548949969635,0.024864677176752503,0.39846846846846845,0.3641341341341341,0.44555555555555554
beta_naught3,238.92487137137135,196.88527477477479,277.40179029029025,4117.174835276159,6.322696209223766e-4,0.029266281847796668,0.029273110836879192,0.3239139139139139,0.26603603603603604,0.3768868868868869
beta_naught4,226.09923173173175,201.8730235235235,253.8881176176176,3151.37305914002,4.195860609117078e-4,0.016990473354191786,0.016995653481464385,0.30625625625625624,0.27290290290290287,0.3445145145145145
beta_naught5,180.49695745745748,144.8701806806807,209.71091441441442,7577.446264647956,6.120464394557053e-4,0.0384377241592861,0.03844259667854679,0.24347347347347348,0.19442442442442442,0.2836936936936937
beta_naught6,372.88155205205203,348.6553438438438,402.09550900900894,4396.844941836389,6.101739624672284e-4,0.029187458024772756,0.029193835277543517,0.5083383383383383,0.474984984984985,0.5485585585585585
beta_naught7,338.6798463463463,308.0408183183183,365.04366116116114,1969.0087463174998,7.979560615866111e-4,0.02553628880201266,0.0255487529961057,0.4612512512512512,0.41906906906906904,0.49754754754754754
beta_naught8,452.68553203203203,427.0342527527527,475.48666916916915,3145.2045169150256,5.887528309914862e-4,0.023817255275921934,0.023824531029475307,0.6182082082082082,0.5828928928928928,0.6495995995995996
beta_naught9,10.9135,10.9135,722.7365,276182.5070036145,0.0011664029383069748,0.4422950566076065,0.44229659460065973,0.01,0.01,0.99
beta_naught10,365.04366116116114,335.1171686686686,407.08325775775774,3087.6483258061935,8.15436670897623e-4,0.032684055344889953,0.03269422595431912,0.49754754754754754,0.4563463463463463,0.5554254254254254
beta_naught11,556.0031846846847,531.7769764764764,580.2293928928929,1513.9208681328832,6.134492352013363e-4,0.017211608211926247,0.01722253689805936,0.7604504504504505,0.727097097097097,0.7938038038038038
beta_naught12,206.86077227227227,179.0718863863864,238.92487137137135,2804.648970107105,6.215062647798523e-4,0.02374121342984325,0.023749347046993313,0.27976976976976975,0.2415115115115115,0.3239139139139139
beta_naught13,200.44795245245248,170.52145995995997,242.48754904904905,4903.11263272333,6.442336961033177e-4,0.032543270569106886,0.032549646640006605,0.27094094094094096,0.22973973973973974,0.3288188188188188
beta_naught14,20.888997497497495,10.9135,722.7365,78016.11117647566,0.0011090713005671288,0.22351834704598944,0.22352109856861638,0.023733733733733733,0.01,0.99
beta_naught15,267.42629279279276,251.0379754754755,280.2519324324324,1727.3266159395757,4.74849695631959e-4,0.014232090885415452,0.014240010295086423,0.36315315315315316,0.3405905905905906,0.3808108108108108
beta_naught16,77.1793048048048,10.9135,206.14823673673672,22936.856009847088,8.658769439360486e-4,0.09461758128154614,0.09462154316249566,0.10123123123123122,0.01,0.27878878878878877
beta_naught17,181.92202852852853,152.7080715715716,210.42344994994997,3785.4863487185917,5.812722319646552e-4,0.02579865820290282,0.0258052057243855,0.24543543543543542,0.2052152152152152,0.28467467467467467
beta_naught18,402.09550900900894,-Inf,Inf,-755021.4576838926,NA,1.519289760006699,1.519287827519266,0.5485585585585585,-Inf,Inf
beta_naught19,434.15960810810805,382.144514014014,484.0370955955956,4703.986850620958,7.705616568812254e-4,0.038125773856876224,0.03813355998923681,0.5927027027027026,0.5210910910910911,0.6613713713713714
beta_naught20,267.42629279279276,245.3376911911912,285.23968118118114,2617.2965974544727,5.562695805591247e-4,0.020526706576223918,0.020534242589213016,0.36315315315315316,0.33274274274274274,0.38767767767767763
beta_naught21,226.81176726726727,196.88527477477479,265.28868618618617,2416.2726145027,6.237529964873012e-4,0.022114638045293015,0.022123432908907878,0.3072372372372372,0.26603603603603604,0.3602102102102102
beta_naught22,126.34425675675676,48.67788338338338,206.14823673673672,9891.864163687493,8.547771120631485e-4,0.06133617585458653,0.06134213162562963,0.16891891891891891,0.06199199199199199,0.27878878878878877
beta_naught23,595.9051746746746,505.4131616616616,679.2718323323323,6951.926312512483,0.0011219292506428288,0.0674877508165593,0.06749707575533513,0.8153853853853853,0.6908008008008008,0.9301601601601601
beta_naught24,210.42344994994997,186.90977727727727,240.34994244244243,3053.6936233744336,5.207523822951966e-4,0.020757463257010944,0.020763994411235658,0.28467467467467467,0.2523023023023023,0.32587587587587585
beta_naught25,407.08325775775774,391.40747597597596,424.1841106106106,813.050856618568,5.103954088260995e-4,0.01048863402668532,0.01050104505366451,0.5554254254254254,0.5338438438438439,0.578968968968969
beta_naught26,442.7100345345345,399.95790240240234,478.3368113113113,4792.786908071233,6.924133286979466e-4,0.03458114318719198,0.03458807453951192,0.6044744744744744,0.5456156156156156,0.6535235235235235
beta_naught27,455.5356741741742,383.56958508508507,532.4895120120119,5980.375385299791,0.001051703914481472,0.05867523896574211,0.05868466365934696,0.6221321321321321,0.523053053053053,0.728078078078078
